,DATE,DailyAverageDryBulbTemperature,year
3331,2014-02-14,70.0,2014
3332,2014-02-15,69.0,2014
3333,2014-02-16,73.0,2014
3334,2014-02-17,72.0,2014
3335,2014-02-18,82.0,2014
3336,2014-02-19,68.0,2014
3337,2014-02-20,71.0,2014
3338,2014-02-21,66.0,2014
3339,2014-02-22,74.0,2014
3340,2014-02-23,67.0,2014
3341,2014-02-24,53.0,2014
3342,2014-02-25,52.0,2014
3343,2014-02-26,42.0,2014
3344,2014-02-27,55.0,2014
3345,2014-02-28,83.0,2014
3346,2014-03-01,80.0,2014
3347,2014-03-02,70.0,2014
3348,2014-03-03,32.0,2014
3349,2014-03-04,51.0,2014
3350,2014-03-05,54.0,2014
3351,2014-03-06,54.0,2014
3352,2014-03-07,67.0,2014
3353,2014-03-08,55.0,2014
3354,2014-03-09,63.0,2014
3355,2014-03-10,78.0,2014
3356,2014-03-11,86.0,2014
3357,2014-03-12,60.0,2014
3358,2014-03-13,68.0,2014
3359,2014-03-14,73.0,2014
3360,2014-03-15,66.0,2014
3361,2014-03-16,55.0,2014
3362,2014-03-17,62.0,2014
3363,2014-03-18,87.0,2014
3364,2014-03-19,63.0,2014
3365,2014-03-20,73.0,2014
3366,2014-03-21,81.0,2014
3367,2014-03-22,65.0,2014
3368,2014-03-23,57.0,2014
3369,2014-03-24,66.0,2014
3370,2014-03-25,62.0,2014
3371,2014-03-26,61.0,2014
3372,2014-03-27,87.0,2014
3373,2014-03-28,78.0,2014
3374,2014-03-29,73.0,2014
3375,2014-03-30,78.0,2014
3376,2014-03-31,84.0,2014
3377,2014-04-01,84.0,2014
3378,2014-04-02,82.0,2014
3379,2014-04-03,88.0,2014
3380,2014-04-04,66.0,2014
3381,2014-04-05,57.0,2014
3382,2014-04-06,51.0,2014
3383,2014-04-07,68.0,2014
3384,2014-04-08,70.0,2014
3385,2014-04-09,82.0,2014
3386,2014-04-10,86.0,2014
3387,2014-04-11,83.0,2014
3388,2014-04-12,84.0,2014
3389,2014-04-13,77.0,2014
3390,2014-04-14,57.0,2014
3391,2014-04-15,64.0,2014
3392,2014-04-16,68.0,2014
3393,2014-04-17,60.0,2014
3394,2014-04-18,76.0,2014
3395,2014-04-19,78.0,2014
3396,2014-04-20,78.0,2014
3397,2014-04-21,84.0,2014
3398,2014-04-22,82.0,2014
3399,2014-04-23,87.0,2014
3400,2014-04-24,82.0,2014
3401,2014-04-25,83.0,2014
3402,2014-04-26,82.0,2014
3403,2014-04-27,92.0,2014
3404,2014-04-28,83.0,2014
3405,2014-04-29,75.0,2014
3406,2014-04-30,68.0,2014
3407,2014-05-01,75.0,2014
3408,2014-05-02,82.0,2014
3409,2014-05-03,90.0,2014
3410,2014-05-04,95.0,2014
3411,2014-05-05,91.0,2014
3412,2014-05-06,86.0,2014
3413,2014-05-07,85.0,2014
3414,2014-05-08,77.0,2014
3415,2014-05-09,88.0,2014
3416,2014-05-10,87.0,2014
3417,2014-05-11,88.0,2014
3418,2014-05-12,83.0,2014
3419,2014-05-13,69.0,2014
3420,2014-05-14,73.0,2014
3421,2014-05-15,83.0,2014
3422,2014-05-16,87.0,2014
3423,2014-05-17,83.0,2014
3424,2014-05-18,83.0,2014
3425,2014-05-19,86.0,2014
3426,2014-05-20,87.0,2014
3427,2014-05-21,88.0,2014
3428,2014-05-22,87.0,2014
3429,2014-05-23,83.0,2014
3430,2014-05-24,85.0,2014
3431,2014-05-25,85.0,2014
3432,2014-05-26,80.0,2014
3433,2014-05-27,77.0,2014
3434,2014-05-28,84.0,2014
3435,2014-05-29,89.0,2014
3436,2014-05-30,88.0,2014
3437,2014-05-31,87.0,2014
3438,2014-06-01,91.0,2014
3439,2014-06-02,92.0,2014
3440,2014-06-03,91.0,2014
3441,2014-06-04,92.0,2014
3442,2014-06-05,90.0,2014
3443,2014-06-06,93.0,2014
3444,2014-06-07,96.0,2014
3445,2014-06-08,88.0,2014
3446,2014-06-09,81.0,2014
3447,2014-06-10,84.0,2014
3448,2014-06-11,94.0,2014
3449,2014-06-12,83.0,2014
3450,2014-06-13,89.0,2014
3451,2014-06-14,90.0,2014
3452,2014-06-15,92.0,2014
3453,2014-06-16,94.0,2014
3454,2014-06-17,94.0,2014
3455,2014-06-18,95.0,2014
3456,2014-06-19,93.0,2014
3457,2014-06-20,93.0,2014
3458,2014-06-21,88.0,2014
3459,2014-06-22,82.0,2014
3460,2014-06-23,87.0,2014
3461,2014-06-24,93.0,2014
3462,2014-06-25,86.0,2014
3463,2014-06-26,89.0,2014
3464,2014-06-27,91.0,2014
3465,2014-06-28,90.0,2014
3466,2014-06-29,93.0,2014
3467,2014-06-30,96.0,2014
3468,2014-07-01,94.0,2014
3469,2014-07-02,90.0,2014
3470,2014-07-03,84.0,2014
3471,2014-07-04,92.0,2014
3472,2014-07-05,93.0,2014
3473,2014-07-06,94.0,2014
3474,2014-07-07,100.0,2014
3475,2014-07-08,98.0,2014
3476,2014-07-09,96.0,2014
3477,2014-07-10,97.0,2014
3478,2014-07-11,95.0,2014
3479,2014-07-12,98.0,2014
3480,2014-07-13,101.0,2014
3481,2014-07-14,103.0,2014
3482,2014-07-15,92.0,2014
3483,2014-07-16,89.0,2014
3484,2014-07-17,78.0,2014
3485,2014-07-18,75.0,2014
3486,2014-07-19,78.0,2014
3487,2014-07-20,92.0,2014
3488,2014-07-21,98.0,2014
3489,2014-07-22,96.0,2014
3490,2014-07-23,95.0,2014
